delta 1.0
u 0 0.0 0.0
z 1 9466 5.652882009652734 0.7545221813257603
z 1 10432 1.9013509608205628 0.26391000495715167
z 1 11058 7.910608066217475 1.707215526006994
z 1 12205 5.867128278005122 -2.088880994254793
z 1 13486 6.71078935463621 0.8428592775062707
z 1 13565 7.271990624767369 -1.8720872146020884
z 1 13937 6.2366009577179735 0.941664249617749
z 1 14408 4.949838449996895 -0.40624931850511947
z 1 15425 2.9914719386152204 -0.8269223850283529
z 1 16429 1.5157712186762269 2.4049385028396477
u 2 1.011774981544031 0.0006515523027336354
x 2 1.643077504917866 0.0014631554208557208 -0.06842226242773419
z 2 264 2.664308823376115 -2.0644274404209804
z 2 565 6.269595708489747 1.8541777127376484
z 2 1058 4.065445447424608 -1.1291506374509508
z 2 1318 2.63243934708443 1.6620036533414924
z 2 1555 6.5451861307125325 1.4392414350711782
z 2 1582 5.5313494839116535 -2.626728319954065
z 2 1766 7.3335516392299915 -1.488473786532669
z 2 1989 5.192725779633845 2.8643432554254
z 2 2296 7.402912314199792 0.3528616493982528
z 2 2874 5.0516145720306085 -1.8398124994599199
z 2 2903 5.325452290089944 -0.03103278767606721
z 2 4620 7.216185484780829 2.2512828045007582
z 2 6123 2.8254672718388716 -0.2529827046568456
z 2 6865 5.005305357384615 -1.4552015034745598
z 2 7822 6.306741262815061 2.7712810747813386
z 2 7884 6.466768622856 -2.1105192309587295
z 2 8875 6.8069089031765575 -1.3385599083530637
z 2 8893 4.263706905273947 -1.9604282585592552
z 2 9376 4.740417714321572 -0.5105473511631571
z 2 9466 4.96405576325279 0.893884008211395
z 2 10432 0.961367969854184 0.5410198920798117
z 2 11058 8.110068235859602 1.8304827546331985
z 2 12205 6.4288156869157564 -2.226664527080619
z 2 13486 6.0844178310622565 0.9666357022106187
z 2 13565 7.633931307626052 -1.9996325565172466
z 2 13937 5.699943819593973 1.0849961848180323
z 2 14408 4.04040368268418 -0.5060937923217201
z 2 15425 2.4238456850525023 -1.1398810617234116
z 2 16429 2.3648564687270723 2.6959342583763846
u 3 1.0307131468633346 -0.0041531598031332015
x 3 3.089802334955509 -0.041058576930486576 0.009655739106939176
z 3 264 3.2792141239157058 -2.3410507915996135
z 3 565 6.633976292706713 2.0079700802353084
z 3 1058 3.740639427642273 -1.3765012489059711
z 3 1318 2.9150614608683525 2.025911257357725
z 3 1555 6.4930526209997055 1.6014640741141433
z 3 1582 6.447538677358811 -2.7016647697060043
z 3 1601 8.03345610170096 0.21863176486811886
z 3 1766 7.319081412345944 -1.6251093839042081
z 3 1989 6.1909986372453485 2.9137482146716094
z 3 2296 6.446406187512216 0.41261021942559584
z 3 2874 5.4155391227258765 -2.0202907148991955
z 3 2903 4.295275622768393 -0.03382716622115067
z 3 4620 7.906896060717783 2.3567602062333712
z 3 6123 1.8448637643794261 -0.38799158273507484
z 3 6865 4.9904016987282445 -1.6576251421403234
z 3 7822 7.27782259383465 2.826436540876964
z 3 7884 7.050415302598183 -2.232264876991432
z 3 8875 6.64368240997999 -1.4858877527850105
z 3 8893 4.750081647623636 -2.158547143249023
z 3 9376 3.8727471957900055 -0.6363300987782647
z 3 9466 4.394421291834954 1.0822157267410066
z 3 10432 0.5384821385708454 1.9688003614229528
z 3 11058 8.435757271355358 1.9529332193401787
z 3 12205 7.102973218260093 -2.33795352207647
z 3 13486 5.565867627271212 1.124008782230617
z 3 13565 8.114991837558053 -2.11136033286269
z 3 13937 5.299721664113174 1.262182441967866
z 3 14408 3.177098548870472 -0.6592662406141194
z 3 15425 2.2002024239184825 -1.5749441377620594
z 3 16429 3.3253705240475817 2.8335082170293955
u 4 1.004727966480868 -0.017085028463951425
x 4 4.14284361624948 -0.06208389388652334 -0.04958299374931974
z 4 264 4.03861581713491 -2.5049817360043924
z 4 565 7.125022091321788 2.1526366306597273
z 4 1058 3.6725508368222886 -1.6306971939964578
z 4 1318 3.4823403383610234 2.304006343138732
z 4 1555 6.60913343622642 1.771041868463758
z 4 1582 7.365792971098118 -2.7437569072448444
z 4 1601 7.0581831632394545 0.2677825801101035
z 4 1766 7.433123679385465 -1.743463862849194
z 4 1989 7.174981020167049 2.961301343762825
z 4 2296 5.5447185256675935 0.5038409730969828
z 4 2874 5.914560563312003 -2.1574390940424095
z 4 2903 3.2909790533353007 -0.02446064129344716
z 4 6123 0.9846526984930969 -0.7584942439301168
z 4 6865 5.166991975858988 -1.835628565487891
z 4 7822 8.241260923312216 2.880327071951653
z 4 7884 7.702249495844008 -2.3189794269397668
z 4 8875 6.625874314897475 -1.6203557657037593
z 4 8893 5.366309289706297 -2.2987996890702127
z 4 9376 3.1159926594873295 -0.8097818819959204
z 4 9466 4.030192372505627 1.3222645109246027
z 4 10432 1.3142676740376433 2.7643089091360897
z 4 12205 7.82817182337726 -2.4141560571197385
z 4 13486 5.219415402070864 1.3162932780180485
z 4 13937 5.093982361288569 1.4688230031227736
z 4 14408 2.454359102830111 -0.8927703320820006
z 4 15425 2.414728728310241 -1.986982774626675
z 4 16429 4.295591317826964 2.919666384077142
u 5 0.9469046200708653 -0.004321949883484433
x 5 5.289861392413847 -0.12299329845959421 -0.056522160673122546
z 5 264 4.831911447017237 -2.617765808689601
z 5 565 7.687807697691891 2.2598961000219706
z 5 1058 3.8452074767195747 -1.8747668234406438
z 5 1318 4.177030026123476 2.4772418868064676
z 5 1555 6.862464244786385 1.9109450522359257
z 5 1582 8.246198842550603 -2.7841660975399996
z 5 1601 6.150756207280994 0.31317078306030144
z 5 1766 7.650918021110346 -1.8614150965625156
z 5 1989 8.108637789959706 2.986316496629243
z 5 2296 4.738748892224897 0.605165270934672
z 5 2874 6.4852926926446886 -2.2751904097157496
z 5 2903 2.3444056749139888 -0.02914488701648077
z 5 6123 0.7140263755524606 -1.8976501171354487
z 5 6865 5.489562115890502 -1.9986619284978149
z 5 7884 8.373859249946163 -2.3977974972044223
z 5 8875 6.737460717439756 -1.7568843697491587
z 5 8893 6.036521599042922 -2.4120724028436453
z 5 9376 2.554816477362484 -1.076607535473591
z 5 9466 3.9086621328594884 1.563745933888434
z 5 10432 2.2225706747972795 2.9253672055381514
z 5 13486 5.066657529192294 1.502588423266081
z 5 13622 8.437530350627199 0.6794098381407401
z 5 13937 5.087631001562403 1.6594126853726685
z 5 14408 1.9992865899356258 -1.2655410737017114
z 5 15425 2.9269887471188363 -2.283345570408999
z 5 16429 5.223801063726072 2.9635149820756705
u 6 1.0242592705438067 0.009472368620214285
x 6 6.312004041057492 -0.20413308117169732 -0.10190971756443412
z 6 264 5.743762194962464 -2.7158192834200827
z 6 565 8.373016790670402 2.345348689372557
z 6 1058 4.269420026358147 -2.11484167236096
z 6 1318 5.020801527046391 2.5946462142543396
z 6 1555 7.264280649490641 2.035010876935827
z 6 1601 5.184168177427399 0.36371139032668864
z 6 1766 8.009227851903498 -1.9935416495415597
z 6 2296 3.936413033544631 0.743239888221781
z 6 2874 7.194379189989547 -2.3929218951665088
z 6 2903 1.321193724875784 -0.0648815507995395
z 6 6123 1.426571829864075 -2.6533481663465324
z 6 6865 5.991565798559534 -2.1639655581804598
z 6 8875 7.004300947144655 -1.9104326556552906
z 6 8893 6.837127824752174 -2.5210274656222507
z 6 9376 2.261782772087685 -1.4972517875557092
z 6 9466 4.028941136668332 1.8113010540863446
z 6 10432 3.22973440865535 2.9854563256660587
z 6 13486 5.09545824607066 1.6949627421565339
z 6 13622 7.664428455268775 0.7535104142690323
z 6 13937 5.273164939539187 1.8447260224780688
z 6 14408 1.9580333182368235 -1.7982199128128447
z 6 15425 3.6820864489369067 -2.504013322897698
z 6 16429 6.233770029399109 2.9839177177535987
u 7 1.0126873094212931 0.014142641830979831
x 7 7.309533578920288 -0.3283720830793617 -0.14590754936629136
z 7 264 6.681660900710783 -2.7916218769345447
z 7 1058 4.876620264285382 -2.3068343281494377
z 7 1318 5.906081146227008 2.670834865087821
z 7 1555 7.764619007695359 2.1381671269615286
z 7 1601 4.2499436488418745 0.4328553411520808
z 7 1766 8.481322823943687 -2.1164391414382098
z 7 2296 3.257723855888802 0.9393678187414158
z 7 2874 7.970523743609472 -2.4929904856772844
z 7 2903 0.3195391331534099 -0.30887813054458535
z 7 6123 2.3710481448075496 -2.866472285979271
z 7 6865 6.616552040795088 -2.304745173730902
z 7 8875 7.409876631955162 -2.0534658606858143
z 7 8893 7.687277287890507 -2.6110861505410186
z 7 9376 2.4159667964606064 -1.9428959822219833
z 7 9466 4.375552589779369 2.024268826276721
z 7 10432 4.232155868361445 3.0102030022404698
z 7 13486 5.309886034324936 1.8713810919134515
z 7 13622 6.955085606577407 0.8383979723270798
z 7 13937 5.625667934694565 2.005106778033479
z 7 14408 2.4043407523457314 -2.234444543598928
z 7 15425 4.539487379442371 -2.650057370669517
z 7 16429 7.234643795571276 2.9927334944168154
u 8 1.0353723212840464 -0.010242314013977892
x 8 8.625978133041752 -0.45753570780923986 -0.04969739404084361
z 8 264 7.66089873720216 -2.828385237761506
z 8 1058 5.620897175838569 -2.4341738967889452
z 8 1318 6.847018673610628 2.7490234640450293
z 8 1555 8.370869695229748 2.2525632084930916
z 8 1601 3.3412816488630837 0.5748978218547132
z 8 2296 2.7803963258176876 1.2560879470929018
z 8 2903 0.7366836305972498 -3.006365902890059
z 8 6123 3.3781845956260983 -2.9411022283455575
z 8 6865 7.346811523701722 -2.3998231290338534
z 8 8875 7.93916631228052 -2.1593067411782596
z 8 9376 2.95023399944255 -2.266391516937108
z 8 9466 4.922242062553262 2.2242587932408213
z 8 10432 5.260896831567681 3.045232071635736
z 8 13486 5.707548822058395 2.0554904975548336
z 8 13622 6.314278042286724 0.9714340116900075
z 8 13937 6.138079413445083 2.1686020999409354
z 8 14408 3.146363336042828 -2.487491770392314
z 8 15425 5.472047041098481 -2.7300942060111653
z 8 16429 8.260665790782337 3.0209305038717513
u 9 0.9872395781300484 0.006365814981047008
x 9 9.73491380888244 -0.5095258186926861 -0.04399978002447558
z 9 1058 6.405250197248462 -2.5404974739500323
z 9 1318 7.767279420631949 2.791675442544494
z 9 1601 2.5672278558793136 0.7781360319763642
z 9 2296 2.64373212976062 1.6123323841329524
z 9 2903 1.7202451322008887 -3.088362917973591
z 9 6123 4.350574573752624 -2.991966058555761
z 9 6865 8.10409725352281 -2.488295421971592
z 9 9376 3.6641161744494632 -2.4805356538258287
z 9 9466 5.575570194490769 2.35929224589664
z 9 10432 6.244018401367156 3.0545796837695605
z 9 13486 6.226542774582738 2.1901163598456206
z 9 13622 5.81196708428534 1.1054784848004013
z 9 13937 6.740916243755701 2.283852933318828
z 9 14408 3.97698292079666 -2.644842132151449
z 9 15425 6.390159681312331 -2.797842338949663
z 9 16307 7.829844023295209 0.8003634441557219
u 10 0.978048482860597 0.006217334127450884
x 10 10.55232418598606 -0.5664228675522356 -0.09498897465496903
z 10 1601 1.9898982736029325 1.1230116016484502
z 10 2296 2.853869192985322 1.9556448597878093
z 10 13622 5.440840026030646 1.260353453978917
z 10 16307 7.1806834553671335 0.8917477984525393
u 11 0.9935471104267608 0.0036715482761380297
x 11 11.250206348268645 -0.5998677473568437 -0.0007845329404907453
z 11 1601 1.7967410170548197 1.6406457428654697
z 11 13622 5.221905244713599 1.438749273399341
z 11 16307 6.600567496710946 1.0053045002980916
u 12 0.9506215452516353 0.0016962496315369633
x 12 12.450545049907646 -0.5668906301540905 0.055717068466276665
z 12 1601 2.089852538099721 2.109966120251971
z 12 13622 5.182321659319834 1.6198879553963703
z 12 16307 6.14311747608399 1.1345676380896084
u 13 0.9440959204772847 0.010756614232076026
x 13 13.737113118081167 -0.5500417558692446 -0.029526598517785274
z 13 13622 5.308047887517403 1.7877704113868784
z 13 16307 5.8027347746449145 1.2714360670389624
u 14 0.9683693084357479 -0.007541797581331171
x 14 14.782733148018453 -0.6627711773580418 -0.18526592498730388
z 14 13622 5.60036083076086 1.9648388270256296
z 14 16307 5.597829173196313 1.4452299513083773
u 15 1.0122002651832849 0.009194437455178717
x 15 16.039618492121868 -0.8564250259305174 -0.1204786436746299
z 15 16307 5.557819200615519 1.6176122140536018
u 16 1.0350905967604584 -0.004354318521575626
x 16 16.79162464886204 -0.9202849418186835 -0.04895367185163124
z 16 16307 5.703002554068312 1.8042557217090742
u 17 1.0411056787246402 -0.005745015592900075
x 17 17.515197257302944 -0.9730953461038577 -0.09675922630009293
z 17 16307 6.032287163648643 1.9785894687650654
u 18 1.0368433385582316 0.006840921296163667
x 18 18.66398328735705 -1.0133822505240404 0.02664973675759974
z 18 16307 6.510385169888319 2.1186919999933522
u 19 0.9986792757269406 0.021289258436825133
x 19 19.412717944513172 -0.9492797621906381 0.1441625872635619
u 20 1.1207005623429798 -1.5707963267948966
x 20 20.17772964627295 -1.597422226088624 -1.5499324955218734
u 21 1.0269294752788847 -0.010467432380577972
x 21 20.092936426449235 -2.5339610921135796 -1.7722456395417505
u 22 1.0038464632969004 0.004562575950929184
x 22 19.84638512508096 -3.8100389238801644 -1.7510640136171045
u 23 0.9824269847225648 -0.004410368976211961
x 23 19.634521295039267 -4.922121925145483 -1.7670384593247161
u 24 0.9988870339635681 0.007792711785389909
x 24 19.4487931755037 -5.777067599007722 -1.8023859767632975
u 25 0.9976156138595312 -0.010079505843448926
x 25 19.29249347884654 -6.467422750336527 -1.7845089091289665
u 26 0.9574609151505021 0.008041613338610896
x 26 19.016529418896138 -7.549269242142701 -1.8566034894536239
u 27 1.0025949356566806 0.004952004588468224
x 27 18.832413592533882 -8.158635383085562 -1.871832878435688
u 28 1.0096382313930756 -0.009135153345467868
x 28 18.62560153237378 -8.925569733414358 -1.796550914260186
u 29 0.9652989441170027 0.00760164440615167
x 29 18.45635285211309 -9.688880494539243 -1.7814408792573706
u 30 1.0365608284380288 -0.004449296764358817
x 30 18.318319097072735 -10.435166133631796 -1.7259399314017514
u 31 1.001139420705111 -0.00017896974104293094
x 31 18.15866832553418 -11.12599662658429 -1.8698780356106532
u 32 0.9587470361133077 0.006287769004514505
x 32 17.920035838817643 -12.008299909138653 -1.8000056907947548
u 33 0.9869816262656556 0.005171030720518548
x 33 17.670653150024037 -13.342979204994593 -1.7110237708572387
u 34 0.9755099666132498 -0.001796919721423064
x 34 17.572524634840647 -14.373309609887393 -1.6204757771865064
u 35 1.0100716317496228 0.003941181827974425
x 35 17.598773669377323 -15.554197219452709 -1.4766677477271832
u 36 0.971213235624898 0.006844940090000781
x 36 17.707714004885858 -16.34461288891464 -1.3909974520934256
u 37 1.0135221800940037 -0.01135839247909754
x 37 18.017851101834395 -17.581200485190774 -1.2591308647981427
u 38 1.0235027084485453 0.006487045339595148
x 38 18.385419634357262 -18.845607162140524 -1.316647754348144
u 39 0.9768803459370106 -0.012981909364819907
x 39 18.56906393857293 -19.714129428427945 -1.4081942343442508
z 39 11126 8.441029865267568 0.5266794150465692
u 40 1.0194438114121318 -0.006025988643241636
x 40 18.703141588937477 -20.512890614275396 -1.4007852027855872
z 40 2166 8.057148648185358 0.420792965040218
z 40 11126 7.578813657369687 0.6007224947569645
u 41 0.9930972931133488 -0.002674266676952259
x 41 18.767521669745147 -21.084253203396113 -1.5163976815358113
z 41 910 8.356594264113477 0.15463967333806616
z 41 2166 7.162792860954488 0.4803019668195452
z 41 9573 7.8604633224862654 0.14054412675077677
z 41 11126 6.783687652744532 0.6864014767767936
z 41 12096 7.9430104850456384 0.19045791748722607
u 42 0.9982874332072202 -0.004280136392384991
x 42 18.885105737750894 -22.153096178606905 -1.406054951652065
z 42 910 7.372199345066012 0.1800644303509653
z 42 2166 6.295505671266638 0.5582168210058827
z 42 9573 6.873787369316023 0.16547765120532443
z 42 11126 6.046203394393241 0.7957876438790246
z 42 11351 8.396058326014078 1.4083741405765036
z 42 12096 6.965803173575577 0.22217286761804012
u 43 0.9985355186121618 -0.0033579484676595404
x 43 19.0019811987526 -23.171460295890192 -1.5070018988060345
z 43 910 6.392658282733401 0.21165847913830227
z 43 2166 5.475180099872074 0.6585857531650445
z 43 9573 5.8915129750146304 0.19703846907289257
z 43 11126 5.396222014485361 0.9319505814534903
z 43 11351 8.29501024752589 1.5308394680438688
z 43 12096 5.996280383731614 0.2625057903805361
u 44 0.9877104884173885 -0.005957334619720274
x 44 18.979829638706203 -24.10610197649512 -1.6819830640717521
z 44 910 5.431689031239568 0.256356554679118
z 44 2166 4.734889323662171 0.7930517703210977
z 44 3797 8.345779537508633 0.13022476144666095
z 44 5984 7.70841042681163 0.3546546709505418
z 44 9573 4.927405194591836 0.24283340370103357
z 44 11126 4.874853024409442 1.1016524544166044
z 44 11351 8.317269587225747 1.6557499498496497
z 44 11851 8.427912870834248 1.1001438188338453
z 44 12096 5.04982932981852 0.31980462351807404
z 44 13330 8.037945617339279 0.6384314493909633
u 45 1.0122357255457175 -0.0031165742826018412
x 45 18.85766415603715 -25.107963069504734 -1.7022886104995543
z 45 220 8.367438074325987 1.2479140210652933
z 45 910 4.460413137534446 0.3173893140668005
z 45 2166 4.090042628719348 0.9737043829587098
z 45 3797 7.343525806678706 0.15145483598001874
z 45 4080 8.051839335625273 1.0018307371591915
z 45 5984 6.768929454965564 0.4099441066661704
z 45 9573 3.952844147255976 0.30795183175180885
z 45 11126 4.510048360577591 1.3064825777710585
z 45 11351 8.465014516912861 1.7782816143473559
z 45 11851 8.021280673641154 1.2160615031589765
z 45 12096 4.101894130221711 0.4009459504812858
z 45 13330 7.251270169535826 0.7250087590341971
u 46 0.9700324635331158 -0.0057250193019012545
x 46 18.76256348705842 -25.866800139297386 -1.688652483919274
z 46 220 8.114690746691778 1.367354939710987
z 46 910 3.5528499128142768 0.4091715778961502
z 46 2166 3.6368767053640343 1.2022687703144213
z 46 3797 6.386762450330584 0.1805270141645665
z 46 4080 7.575933013502995 1.1158336129918993
z 46 4527 7.8751515594404635 0.11226543074054618
z 46 5984 5.893245450907439 0.4817519298650912
z 46 9573 3.04378441223233 0.41129884287943863
z 46 11126 4.361173105224169 1.528761670629521
z 46 11851 7.740700337601056 1.3396970198966276
z 46 12096 3.232431328750527 0.5248596103941656
z 46 13330 6.55887810067162 0.8292856851126236
u 47 0.988505061143646 0.01203810322659548
x 47 18.577837046472105 -27.168909126619376 -1.7347935485776322
z 47 220 7.968032195729548 1.4769632444615928
z 47 910 2.671893727206264 0.5427914918005534
z 47 2166 3.401984813798096 1.464061533700722
z 47 3797 5.415996607128421 0.2001830782110523
z 47 4080 7.190927543698091 1.2272243339860305
z 47 4527 6.893023588561496 0.11543560431737054
z 47 5984 5.034906957776211 0.5597522417627001
z 47 9573 2.170637517431629 0.5797913324431105
z 47 11126 4.425245775454163 1.741736902785238
z 47 11851 7.569727565439359 1.454934148508543
z 47 12096 2.424099210903834 0.7164327919000675
z 47 13330 5.931335604428601 0.9397753247788305
z 47 13805 7.906347329944089 0.6790705192418032
z 47 15150 8.492861272867481 0.9045835299954321
u 48 0.9757700793596404 0.008494471334943096
x 48 18.383858314715656 -28.169770814308134 -1.7896756607226274
z 48 220 7.932147546115603 1.5911996912510569
z 48 910 1.9012879843523323 0.800656016374552
z 48 2166 3.433702688664622 1.741888317828863
z 48 3797 4.462944716935599 0.2342668184458705
z 48 4080 6.919416007776525 1.3516955874379004
z 48 4527 5.924271310199182 0.12521790804360755
z 48 5984 4.237225401976787 0.6730039790109301
z 48 9573 1.4526398089421066 0.9455863869460348
z 48 11126 4.686985277488303 1.9400134802267495
z 48 11851 7.515506219564005 1.5756977812008364
z 48 12096 1.8020916596365164 1.0696128234717115
z 48 13330 5.40964073882886 1.0769823992891894
z 48 13805 7.17041294772823 0.755697567748121
z 48 15150 7.923543954661251 0.9927301556128825
u 49 1.0089502974852562 0.011431678124827706
x 49 18.288516924131297 -29.109259677309176 -1.5541889017144974
z 49 220 8.010743866754236 1.7060386630430582
z 49 910 1.3949898793196525 1.3317270233653185
z 49 2166 3.7348268437886216 2.0001742620761505
z 49 3797 3.4877360777424014 0.2884241038217361
z 49 4080 6.766360559413544 1.4861402214245238
z 49 4527 4.923991561053371 0.1382168543753446
z 49 5984 3.500828601463813 0.8408876710301922
z 49 9573 1.1827931220748873 1.6939832173269025
z 49 11851 7.58211400830619 1.697731001145006
z 49 12096 1.5811813445561498 1.6499832824575966
z 49 13330 5.0053222604317735 1.243430897138957
z 49 13805 6.468827602397815 0.8507804810472503
z 49 15150 7.41537153197676 1.0950711131676156
u 50 1.0000844578882337 0.00977237616958044
x 50 18.3534814796767 -30.093593636231667 -1.4555979221824318
z 50 220 8.200910646687396 1.8174757122373535
z 50 910 1.5073830825226577 2.0214216811360064
z 50 3059 8.126467480533327 0.3089318931825584
z 50 3797 2.5430240899102095 0.3888921496670408
z 50 4080 6.750819692918061 1.624457118375025
z 50 4527 3.935033639781756 0.16223630693395386
z 50 5984 2.9259918630196746 1.0875141684434908
z 50 9573 1.636576065883177 2.336251766091257
z 50 11851 7.767557021065711 1.8161022709333547
z 50 12096 1.932631403671342 2.1824359582877833
z 50 13330 4.773672994571346 1.4330181849973247
z 50 13805 5.853779304741249 0.9692467014276112
z 50 15150 7.009334792047588 1.212153374928997
u 51 0.9330082642037001 -0.010092948746045096
x 51 18.421273324877575 -31.22990458972607 -1.5668168134813465
z 51 220 8.481570130626269 1.9343080778170316
z 51 3059 7.244808269905623 0.3588091510584839
z 51 3797 1.7191954070311646 0.6088246288827799
z 51 4080 6.869001339102634 1.7705632739992616
z 51 4527 3.0190527643623533 0.22380807903977384
z 51 5984 2.630436020532488 1.4179602639818834
z 51 11851 8.049617528543713 1.9387258604327995
z 51 13330 4.741263930026166 1.639422603682509
z 51 13805 5.385265813128378 1.1231666832260325
z 51 15150 6.743306868718975 1.352413786262204
u 52 0.9849225451223876 -0.01743022727941678
x 52 18.512473906526758 -32.166313969576265 -1.38060040702377
z 52 3059 6.335561874215262 0.4321252671087441
z 52 3797 1.0791867188650461 1.1830256789600941
z 52 4080 7.138189144115648 1.9233967152442233
z 52 4282 8.475170057045133 1.4891820262392788
z 52 4527 2.0731091401046955 0.35093447450409965
z 52 5984 2.6730251238081997 1.8086395304521812
z 52 11851 8.461582288471629 2.0646073911120446
z 52 13330 4.916425192367089 1.8579368998587187
z 52 13805 5.046106249775579 1.3182108443717624
z 52 15150 6.608900212937508 1.5161293434912402
u 53 0.9534020413731151 -0.011183480709134008
x 53 18.717741830729846 -33.134102809905386 -1.3429871343395863
z 53 3059 5.486951547251095 0.5170264301309082
z 53 3797 1.142879083520304 2.07937809205145
z 53 4080 7.5255895136769615 2.0535071281336634
z 53 4282 8.456364537361928 1.6130211459733967
z 53 4527 1.2256995701699311 0.6370506858104314
z 53 5984 3.0467320981231754 2.1283947467499846
z 53 13330 5.271188503790916 2.043172950599395
z 53 13805 4.900989589504506 1.5191590640831159
z 53 15150 6.630862629761074 1.6714197300527847
u 54 0.9772830916555848 0.01217773778023036
x 54 18.80219471086985 -34.02746604879404 -1.6100984423483111
z 54 3059 4.659059328283286 0.6076002953303763
z 54 4080 8.021087522643152 2.149801530937933
z 54 4527 0.7231735040268131 1.547522745916452
z 54 13805 4.941872463845274 1.7057118586565885
z 54 15150 6.793142795546196 1.8029561197149384
u 55 1.0186652313120292 -0.0010297926314753578
x 55 18.746881469208272 -34.78058953253808 -1.6781211771771865
z 55 3059 3.867058718017089 0.7597022840661802
z 55 4527 1.2357711021230096 2.5171674952084953
z 55 8432 8.462043655171 1.2237760778569138
z 55 13805 5.178722051685604 1.9028980616847004
z 55 15150 7.097582668031662 1.9440992533676642
u 56 0.9921310627101313 0.0019746723817620146
x 56 18.709164331804928 -35.40521150334291 -1.5840929003320714
z 56 3059 3.2202213263323913 0.9713132533107895
z 56 8432 8.177064139179578 1.3361078065441685
z 56 8937 8.388064193203041 1.227930492832881
z 56 13805 5.580695671301925 2.069847861700196
z 56 15150 7.515530031592062 2.0654029796781437
u 57 0.9294501320806757 -0.006008714775359133
x 57 18.66096642574182 -36.231108997374214 -1.6740839598253703
z 57 3059 2.8055540904404337 1.2549564304698384
z 57 5096 8.484011757832825 1.385404176291015
z 57 8432 8.01486119308043 1.455224730280407
z 57 8937 8.125614906426687 1.3419916500293532
u 58 1.0402849828097565 0.004210133594330827
x 58 18.506377933634358 -37.09211168769083 -1.8228125281418017
z 58 3059 2.6699333577463635 1.6298640423098707
z 58 5096 8.352866856807278 1.50386087128991
z 58 8432 7.960050481915694 1.581166048658063
z 58 8937 7.952274561946486 1.4654721241745197
u 59 0.96554164567821 0.0047773719637414684
x 59 18.22761892805528 -37.98784645815017 -1.9221932193003946
z 59 3059 2.890135924872368 1.9651480399850811
z 59 5096 8.34178314641022 1.6148111490960417
z 59 8432 8.026042101094333 1.6969778756317266
z 59 8937 7.906961764256799 1.5824000227320472
u 60 0.9908471231307038 -0.015097275956107242
x 60 17.857354919542054 -38.946589667919746 -1.9565017054139282
z 60 5096 8.450982676923728 1.7472670727625292
z 60 8432 8.217040655042629 1.831868102345731
z 60 8937 7.987608146275462 1.721841586190548
